Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 2	Serie N.º 2	Serie N.º 2	Serie N.º 3	Serie N.º 3	Serie N.º 3	Serie N.º 4	Serie N.º 4	Serie N.º 4	Serie N.º 5	Serie N.º 5	Serie N.º 5	Serie N.º 6	Serie N.º 6	Serie N.º 6	Serie N.º 7	Serie N.º 7	Serie N.º 7	Serie N.º 8	Serie N.º 8	Serie N.º 8	Serie N.º 9	Serie N.º 9	Serie N.º 9
Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)
191,375	-0,35	-0,002				765,500	-0,21	8,829E-4																		
191,400	-0,34	0,003				765,600	-0,21	9,490E-4																		
191,425	-0,36	-0,002				765,700	-0,21	9,115E-4																		
191,450	-0,34	0,003				765,800	-0,21	8,782E-4																		
191,475	-0,35	-0,002				765,900	-0,21	9,242E-4																		
191,500	-0,34	0,003				766,000	-0,22	8,784E-4																		
191,525	-0,36	-0,002				766,100	-0,21	9,395E-4																		
191,550	-0,35	0,003				766,200	-0,21	8,969E-4																		
191,575	-0,34	-0,002				766,300	-0,21	9,076E-4																		
191,600	-0,34	0,003				766,400	-0,22	9,106E-4																		
191,625	-0,34	-0,002				766,500	-0,21	9,536E-4																		
191,650	-0,35	0,003				766,600	-0,21	9,066E-4																		
191,675	-0,37	-0,002				766,700	-0,22	8,812E-4																		
191,700	-0,34	0,003				766,800	-0,21	9,244E-4																		
191,725	-0,34	-0,002				766,900	-0,21	9,497E-4																		
191,750	-0,35	0,004				767,000	-0,21	9,084E-4																		
191,775	-0,35	-0,002				767,100	-0,21	9,236E-4																		
191,800	-0,36	0,003				767,200	-0,22	9,169E-4																		
191,825	-0,36	-0,002				767,300	-0,21	9,218E-4																		
191,850	-0,33	0,004				767,400	-0,21	9,318E-4																		
191,875	-0,34	-0,002				767,500	-0,22	9,048E-4																		
191,900	-0,35	0,003				767,600	-0,21	8,948E-4																		
191,925	-0,35	-0,002				767,700	-0,21	8,779E-4																		
191,950	-0,36	0,004				767,800	-0,22	8,942E-4																		
191,975	-0,35	-0,002				767,900	-0,21	8,630E-4																		
192,000	-0,33	0,004				768,000	-0,21	8,711E-4																		
192,025	-0,36	-0,002				768,100	-0,21	8,643E-4																		
192,050	-0,35	0,003				768,200	-0,21	8,812E-4																		
192,075	-0,35	-0,002				768,300	-0,21	9,268E-4																		
192,100	-0,36	0,003				768,400	-0,21	8,895E-4																		
192,125	-0,34	-0,002				768,500	-0,21	9,243E-4																		
192,150	-0,33	0,003				768,600	-0,22	8,970E-4																		
192,175	-0,36	-0,002				768,700	-0,21	8,717E-4																		
192,200	-0,34	0,003				768,800	-0,21	9,116E-4																		
192,225	-0,35	-0,002				768,900	-0,22	9,001E-4																		
192,250	-0,36	0,003				769,000	-0,21	8,789E-4																		
192,275	-0,33	-0,002				769,100	-0,22	8,721E-4																		
192,300	-0,35	0,003				769,200	-0,21	8,660E-4																		
192,325	-0,36	-0,002				769,300	-0,22	8,931E-4																		
192,350	-0,33	0,003				769,400	-0,21	8,840E-4																		
192,375	-0,36	-0,002				769,500	-0,22	8,647E-4																		
192,400	-0,35	0,003				769,600	-0,21	9,023E-4																		
192,425	-0,33	-0,002				769,700	-0,21	9,170E-4																		
192,450	-0,36	0,004				769,800	-0,21	9,005E-4																		
192,475	-0,35	-0,002				769,900	-0,22	9,281E-4																		
192,500	-0,34	0,003				770,000	-0,21	9,034E-4																		
192,525	-0,36	-0,002				770,100	-0,21	9,432E-4																		
192,550	-0,33	0,004				770,200	-0,22	9,114E-4																		
192,575	-0,34	-0,002				770,300	-0,21	9,120E-4																		
192,600	-0,37	0,003				770,400	-0,22	9,056E-4																		
192,625	-0,33	-0,003				770,500	-0,21	9,146E-4																		
192,650	-0,36	0,004				770,600	-0,22	8,914E-4																		
192,675	-0,35	-0,002				770,700	-0,22	8,933E-4																		
192,700	-0,32	0,003				770,800	-0,21	8,843E-4																		
192,725	-0,36	-0,002				770,900	-0,22	8,816E-4																		
192,750	-0,36	0,003				771,000	-0,22	8,236E-4																		
192,775	-0,33	-0,002				771,100	-0,22	8,700E-4																		
192,800	-0,37	0,004				771,200	-0,21	8,871E-4																		
192,825	-0,34	-0,002				771,300	-0,22	8,813E-4																		
192,850	-0,33	0,003				771,400	-0,22	8,307E-4																		
192,875	-0,37	-0,002				771,500	-0,21	8,777E-4																		
192,900	-0,34	0,003				771,600	-0,21	8,450E-4																		
192,925	-0,35	-0,002				771,700	-0,22	8,617E-4																		
192,950	-0,36	0,003				771,800	-0,22	8,652E-4																		
192,975	-0,32	-0,002				771,900	-0,23	8,816E-4																		
193,000	-0,36	0,004				772,000	-0,22	8,844E-4																		
193,025	-0,36	-0,002				772,100	-0,21	8,417E-4																		
193,050	-0,33	0,004				772,200	-0,22	8,541E-4																		
193,075	-0,36	-0,002				772,300	-0,21	9,019E-4																		
193,100	-0,34	0,004				772,400	-0,21	8,817E-4																		
193,125	-0,33	-0,002				772,500	-0,21	8,585E-4																		
193,150	-0,38	0,004				772,600	-0,22	8,282E-4																		
193,175	-0,34	-0,002				772,700	-0,22	8,257E-4																		
193,200	-0,33	0,004				772,800	-0,21	8,251E-4																		
193,225	-0,37	-0,002				772,900	-0,22	8,904E-4																		
193,250	-0,32	0,003				773,000	-0,21	8,602E-4																		
193,275	-0,35	-0,002				773,100	-0,22	8,060E-4																		
193,300	-0,37	0,003				773,200	-0,21	8,230E-4																		
193,325	-0,33	-0,002				773,300	-0,21	8,806E-4																		
193,350	-0,35	0,003				773,400	-0,22	8,628E-4																		
193,375	-0,35	-0,002				773,500	-0,22	8,446E-4																		
193,400	-0,33	0,003				773,600	-0,21	8,403E-4																		
193,425	-0,37	-0,002				773,700	-0,22	8,525E-4																		
193,450	-0,35	0,003				773,800	-0,21	8,632E-4																		
193,475	-0,34	-0,002				773,900	-0,22	8,486E-4																		
193,500	-0,36	0,004				774,000	-0,21	8,550E-4																		
193,525	-0,34	-0,002				774,100	-0,22	8,383E-4																		
193,550	-0,34	0,004				774,200	-0,22	8,589E-4																		
193,575	-0,36	-0,002				774,300	-0,21	9,047E-4																		
193,600	-0,34	0,004				774,400	-0,22	8,844E-4																		
193,625	-0,35	-0,002				774,500	-0,21	8,678E-4																		
193,650	-0,35	0,004				774,600	-0,22	9,034E-4																		
193,675	-0,34	-0,002				774,700	-0,21	8,932E-4																		
193,700	-0,36	0,004				774,800	-0,22	9,257E-4																		
193,725	-0,35	-0,002				774,900	-0,21	8,798E-4																		
193,750	-0,34	0,004				775,000	-0,22	8,550E-4																		
193,775	-0,36	-0,002				775,100	-0,21	9,133E-4																		
193,800	-0,34	0,004				775,200	-0,22	9,242E-4																		
193,825	-0,34	-0,002				775,300	-0,21	9,031E-4																		
193,850	-0,36	0,004				775,400	-0,21	8,669E-4																		
193,875	-0,34	-0,002				775,500	-0,22	8,997E-4																		
193,900	-0,35	0,004				775,600	-0,21	8,969E-4																		
193,925	-0,35	-0,002				775,700	-0,22	9,050E-4																		
193,950	-0,34	0,004				775,800	-0,21	9,126E-4																		
193,975	-0,35	-0,002				775,900	-0,22	9,270E-4																		
194,000	-0,36	0,004				776,000	-0,21	9,779E-4																		
194,025	-0,34	-0,002				776,100	-0,22	9,548E-4																		
194,050	-0,35	0,004				776,200	-0,21	9,283E-4																		
194,075	-0,35	-0,002				776,300	-0,21	9,182E-4																		
194,100	-0,34	0,004				776,400	-0,22	8,711E-4																		
194,125	-0,36	-0,002				776,500	-0,21	9,346E-4																		
194,150	-0,35	0,004				776,600	-0,22	8,494E-4																		
194,175	-0,34	-0,002				776,700	-0,21	9,512E-4																		
194,200	-0,36	0,004				776,800	-0,22	9,458E-4																		
194,225	-0,34	-0,002				776,900	-0,21	9,453E-4																		
194,250	-0,35	0,004				777,000	-0,21	9,108E-4																		
194,275	-0,36	-0,002				777,100	-0,22	9,498E-4																		
194,300	-0,34	0,004				777,200	-0,22	9,481E-4																		
194,325	-0,34	-0,002				777,300	-0,21	9,462E-4																		
194,350	-0,35	0,004				777,400	-0,22	9,406E-4																		
194,375	-0,34	-0,002				777,500	-0,21	9,286E-4																		
194,400	-0,35	0,004				777,600	-0,22	9,277E-4																		
194,425	-0,35	-0,002				777,700	-0,21	9,023E-4																		
194,450	-0,34	0,004				777,800	-0,21	9,321E-4																		
194,475	-0,35	-0,002				777,900	-0,22	9,680E-4																		
194,500	-0,35	0,003				778,000	-0,22	9,153E-4																		
194,525	-0,35	-0,003				778,100	-0,21	9,644E-4																		
194,550	-0,36	0,001				778,200	-0,22	9,186E-4																		
194,575	-0,34	-0,004				778,300	-0,22	8,794E-4																		
194,600	-0,34	0,003				778,400	-0,21	9,084E-4																		
194,625	-0,35	-0,003				778,500	-0,21	9,337E-4																		
194,650	-0,35	0,003				778,600	-0,22	9,204E-4																		
194,675	-0,36	-0,002				778,700	-0,21	9,362E-4																		
194,700	-0,35	0,004				778,800	-0,10	9,323E-4																		
194,725	-0,34	-0,002				778,900	-0,14	9,451E-4																		
194,750	-0,34	0,004				779,000	1,97	9,218E-4																		
194,775	-0,34	-0,002				779,100	0,85	9,230E-4																		
194,800	-0,35	0,004				779,200	3,80	9,954E-4																		
194,825	-0,36	-0,002				779,300	1,74	9,504E-4																		
194,850	-0,35	0,004				779,400	5,75	9,153E-4																		
194,875	-0,34	-0,002				779,500	1,02	9,918E-4																		
194,900	-0,35	0,004				779,600	7,69	8,607E-4																		
194,925	-0,35	-0,002				779,700	2,23	0,001																		
194,950	-0,35	0,004				779,800	8,79	9,073E-4																		
194,975	-0,35	-0,002				779,900	4,05	0,001																		
195,000	-0,34	0,004				780,000	8,89	9,008E-4																		
195,025	-0,35	-0,002				780,100	6,09	9,573E-4																		
195,050	-0,35	0,004				780,200	8,58	9,916E-4																		
195,075	-0,35	-0,002				780,300	8,35	9,437E-4																		
195,100	-0,35	0,004				780,400	8,87	9,348E-4																		
195,125	-0,35	-0,001				780,500	8,94	9,060E-4																		
195,150	-0,34	0,004				780,600	8,90	9,200E-4																		
195,175	-0,34	-0,001				780,700	8,88	9,277E-4																		
195,200	-0,35	0,004				780,800	8,88	9,432E-4																		
195,225	-0,35	-0,002				780,900	8,87	9,645E-4																		
195,250	-0,35	0,004				781,000	8,88	9,661E-4																		
195,275	-0,35	-0,002				781,100	8,88	9,570E-4																		
195,300	-0,34	0,003				781,200	8,88	9,491E-4																		
195,325	-0,35	-0,002				781,300	8,88	9,072E-4																		
195,350	-0,35	0,003				781,400	8,88	9,634E-4																		
195,375	-0,35	-0,003				781,500	8,88	9,210E-4																		
195,400	-0,34	0,003				781,600	8,88	9,233E-4																		
195,425	-0,35	-0,002				781,700	8,88	9,673E-4																		
195,450	-0,34	0,004				781,800	8,88	8,883E-4																		
195,475	-0,35	-0,002				781,900	8,88	0,001																		
195,500	-0,36	0,004				782,000	8,88	9,316E-4																		
195,525	-0,34	-0,002				782,100	8,88	9,363E-4																		
195,550	-0,35	0,004				782,200	8,88	9,989E-4																		
195,575	-0,35	-0,002				782,300	8,88	9,596E-4																		
195,600	-0,34	0,004				782,400	8,88	9,781E-4																		
195,625	-0,36	-0,002				782,500	8,88	9,734E-4																		
195,650	-0,35	0,004				782,600	8,88	9,640E-4																		
195,675	-0,34	-0,003				782,700	8,88	9,683E-4																		
195,700	-0,35	0,003				782,800	8,88	9,152E-4																		
195,725	-0,35	-0,003				782,900	8,88	9,174E-4																		
195,750	-0,34	0,003				783,000	8,88	9,420E-4																		
195,775	-0,36	-0,003				783,100	8,88	9,309E-4																		
195,800	-0,34	0,003				783,200	8,88	9,506E-4																		
195,825	-0,34	-0,003				783,300	8,88	9,736E-4																		
195,850	-0,36	0,003				783,400	8,88	9,312E-4																		
195,875	-0,34	-0,003				783,500	8,88	9,539E-4																		
195,900	-0,35	0,002				783,600	8,88	9,580E-4																		
195,925	-0,36	-0,003				783,700	8,88	9,480E-4																		
195,950	-0,33	0,003				783,800	8,88	9,706E-4																		
195,975	-0,35	-0,003				783,900	8,88	9,458E-4																		
196,000	-0,35	0,003				784,000	8,88	9,563E-4																		
196,025	-0,34	-0,002				784,100	8,88	9,457E-4																		
196,050	-0,35	0,004				784,200	8,88	9,687E-4																		
196,075	-0,35	-0,002				784,300	8,88	9,529E-4																		
196,100	-0,34	0,005				784,400	8,88	9,673E-4																		
196,125	-0,36	-5,676E-4				784,500	8,88	9,318E-4																		
196,150	-0,35	0,006				784,600	8,88	9,578E-4																		
196,175	-0,34	9,766E-6				784,700	8,88	9,480E-4																		
196,200	-0,36	0,006				784,800	8,88	9,393E-4																		
196,225	-0,34	0,001				784,900	8,88	9,165E-4																		
196,250	-0,34	0,006				785,000	8,88	9,440E-4																		
196,275	-0,36	-0,002				785,100	8,88	9,127E-4																		
196,300	-0,34	0,004				785,200	8,88	9,121E-4																		
196,325	-0,36	-0,001				785,300	8,88	0,001																		
196,350	-0,34	0,006				785,400	8,88	9,974E-4																		
196,375	-0,35	-9,155E-5				785,500	8,88	0,001																		
196,400	-0,36	0,005				785,600	8,88	0,001																		
196,425	-0,34	-0,001				785,700	8,88	0,001																		
196,450	-0,34	0,004				785,800	8,88	0,001																		
196,475	-0,35	-0,002				785,900	8,88	0,001																		
196,500	-0,34	0,004				786,000	8,88	9,998E-4																		
196,525	-0,35	-0,002				786,100	8,88	9,055E-4																		
196,550	-0,35	0,004				786,200	8,88	8,757E-4																		
196,575	-0,34	-0,002				786,300	8,88	8,564E-4																		
196,600	-0,35	0,003				786,400	8,88	2,415E-4																		
196,625	-0,35	-0,002				786,500	8,88	-0,001																		
196,650	-0,34	0,004				786,600	8,89	-0,001																		
196,675	-0,36	-0,002				786,700	8,88	0,001																		
196,700	-0,34	0,003				786,800	8,88	0,004																		
196,725	-0,34	-0,002				786,900	8,88	0,002																		
196,750	-0,37	0,004				787,000	8,88	0,001																		
196,775	-0,34	-0,002				787,100	8,89	0,001																		
196,800	-0,34	0,003				787,200	8,88	0,002																		
196,825	-0,36	-0,002				787,300	8,88	0,002																		
196,850	-0,33	0,003				787,400	8,89	0,002																		
196,875	-0,35	-0,003				787,500	8,89	0,007																		
196,900	-0,36	0,003				787,600	8,89	0,001																		
196,925	-0,34	-0,004				787,700	8,89	-0,005																		
196,950	-0,34	8,484E-4				787,800	8,88	-1,145E-4																		
196,975	-0,35	-0,005				787,900	8,89	4,816E-4																		
197,000	-0,34	9,460E-4				788,000	8,89	5,928E-4																		
197,025	-0,36	-0,003				788,100	8,89	8,402E-4																		
197,050	-0,36	0,003				788,200	8,89	0,001																		
197,075	-0,34	-0,002				788,300	8,89	0,001																		
197,100	-0,36	0,004				788,400	8,89	0,002																		
197,125	-0,34	-9,338E-4				788,500	8,89	0,003																		
197,150	-0,34	0,004				788,600	8,89	0,005																		
197,175	-0,35	-9,924E-4				788,700	8,89	0,008																		
197,200	-0,35	0,005				788,800	8,89	0,003																		
197,225	-0,35	0,003				788,900	8,89	-0,005																		
197,250	-0,35	0,012				789,000	8,89	-0,005																		
197,275	-0,34	0,006				789,100	8,89	-0,002																		
197,300	-0,35	0,008				789,200	8,89	-4,729E-4																		
197,325	-0,35	0,002				789,300	8,89	2,461E-4																		
197,350	-0,36	0,005				789,400	8,89	6,726E-4																		
197,375	-0,36	-0,002				789,500	8,89	7,789E-4																		
197,400	-0,34	0,002				789,600	8,89	7,863E-4																		
197,425	-0,34	-0,003				789,700	8,89	7,648E-4																		
197,450	-0,35	0,002																								
197,475	-0,35	-0,004																								
197,500	-0,35	-0,001																								
197,525	-0,35	-0,009																								
197,550	-0,33	-0,005																								
197,575	-0,36	-0,012																								
197,600	-0,35	0,002																								
197,625	-0,35	-0,003																								
197,650	-0,35	0,002																								
197,675	-0,33	-0,002																								
197,700	-0,35	0,003																								
197,725	-0,35	-0,002																								
197,750	-0,35	0,003																								
197,775	-0,36	-0,003																								
197,800	-0,34	0,002																								
197,825	-0,34	-0,002																								
197,850	-0,35	0,003																								
197,875	-0,35	-0,002																								
197,900	-0,34	0,003																								
197,925	-0,35	-0,002																								
197,950	-0,34	0,003																								
197,975	-0,35	-0,001																								
198,000	-0,36	0,004																								
198,025	-0,35	-6,714E-4																								
198,050	-0,35	0,004																								
198,075	-0,34	-6,592E-4																								
198,100	-0,36	0,004																								
198,125	-0,35	-0,002																								
198,150	-0,34	0,003																								
198,175	-0,35	-0,002																								
198,200	-0,36	0,003																								
198,225	-0,33	-0,002																								
198,250	-0,36	0,003																								
198,275	-0,35	-0,001																								
198,300	-0,34	0,004																								
198,325	-0,36	-0,001																								
198,350	-0,35	0,003																								
198,375	-0,33	-0,002																								
198,400	-0,36	0,003																								
198,425	-0,35	-0,001																								
198,450	-0,35	0,003																								
198,475	-0,36	-0,002																								
198,500	-0,33	0,003																								
198,525	-0,35	-0,002																								
198,550	-0,37	0,003																								
198,575	-0,34	-0,002																								
198,600	-0,35	0,002																								
198,625	-0,35	-0,004																								
198,650	-0,34	7,361E-4																								
198,675	-0,36	-0,003																								
198,700	-0,35	0,002																								
198,725	-0,34	-0,002																								
198,750	-0,34	0,002																								
198,775	-0,35	-0,002																								
198,800	-0,35	0,003																								
198,825	-0,36	-0,001																								
198,850	-0,35	0,003																								
198,875	-0,34	-0,001																								
198,900	-0,35	0,003																								
198,925	-0,35	-0,001																								
198,950	-0,36	0,003																								
198,975	-0,34	-0,001																								
199,000	-0,34	0,003																								
199,025	-0,35	-0,001																								
199,050	-0,35	0,003																								
199,075	-0,35	-0,001																								
199,100	-0,36	0,003																								
199,125	-0,33	-0,001																								
199,150	-0,35	0,003																								
199,175	-0,35	-8,740E-4																								
199,200	-0,34	0,003																								
199,225	-0,36	-8,838E-4																								
199,250	-0,35	0,003																								
199,275	-0,34	-6,897E-4																								
199,300	-0,35	0,003																								
199,325	-0,35	-6,030E-4																								
199,350	-0,34	0,003																								
199,375	-0,36	-0,001																								
199,400	-0,35	0,002																								
199,425	-0,34	-0,001																								
199,450	-0,35	0,002																								
199,475	-0,34	-0,001																								
199,500	-0,35	0,002																								
199,525	-0,36	-0,001																								
199,550	-0,34	0,002																								
199,575	-0,34	-0,001																								
199,600	-0,35	0,002																								
199,625	-0,35	-7,996E-4																								
199,650	-0,35	0,003																								
199,675	-0,35	-6,055E-4																								
199,700	-0,34	0,003																								
199,725	-0,34	-7,263E-4																								
199,750	-0,35	0,003																								
199,775	-0,35	-9,851E-4																								
199,800	-0,35	0,002																								
199,825	-0,34	-0,002																								
199,850	-0,34	0,002																								
199,875	-0,35	-0,002																								
199,900	-0,35	0,002																								
199,925	-0,36	-0,001																								
199,950	-0,34	0,003																								
199,975	-0,35	-7,190E-4																								
200,000	-0,33	0,003																								
200,025	-0,35	-4,565E-4																								
200,050	-0,36	0,003																								
200,075	-0,35	-5,237E-4																								
200,100	-0,34	0,003																								
200,125	-0,34	-4,736E-4																								
200,150	-0,35	0,003																								
200,175	-0,35	-1,904E-4																								
200,200	-0,35	0,003																								
200,225	-0,35	-1,917E-4																								
200,250	-0,34	0,003																								
200,275	-0,35	-7,690E-5																								
200,300	-0,35	0,003																								
200,325	-0,35	3,552E-4																								
200,350	-0,35	0,004																								
200,375	-0,35	0,001																								
200,400	-0,34	0,004																								
200,425	-0,35	5,676E-4																								
200,450	-0,35	0,003																								
200,475	-0,35	-0,001																								
200,500	-0,35	0,001																								
200,525	-0,35	-0,002																								
200,550	-0,34	0,002																								
200,575	-0,35	-0,001																								
200,600	-0,35	0,002																								
200,625	-0,35	-0,001																								
200,650	-0,35	0,002																								
200,675	-0,34	-6,714E-4																								
200,700	-0,34	0,002																								
200,725	-0,36	-5,859E-4																								
200,750	-0,35	0,002																								
200,775	-0,34	-2,173E-4																								
200,800	-0,35	0,003																								
200,825	-0,33	-7,190E-4																								
200,850	-0,35	0,002																								
200,875	-0,36	-0,002																								
200,900	-0,34	9,460E-4																								
200,925	-0,34	-0,002																								
200,950	-0,35	9,412E-4																								
200,975	-0,34	-6,494E-4																								
201,000	-0,36	0,002																								
201,025	-0,36	-3,088E-4																								
201,050	-0,33	0,003																								
201,075	-0,35	2,942E-4																								
201,100	-0,35	0,003																								
201,125	-0,34	7,617E-4																								
201,150	-0,36	0,003																								
201,175	-0,34	3,699E-4																								
201,200	-0,33	0,003																								
201,225	-0,36	-4,395E-5																								
201,250	-0,34	0,002																								
201,275	-0,35	-1,465E-4																								
201,300	-0,36	0,002																								
201,325	-0,34	-3,113E-4																								
201,350	-0,35	0,002																								
201,375	-0,36	-3,748E-4																								
201,400	-0,34	0,002																								
201,425	-0,35	-7,727E-4																								
201,450	-0,35	0,001																								
201,475	-0,34	-0,002																								
201,500	-0,35	-8,362E-4																								
201,525	-0,35	-0,005																								
201,550	-0,34	-4,663E-4																								
201,575	-0,35	-0,001																								
201,600	-0,35	4,419E-4																								
201,625	-0,35	-0,002																								
201,650	-0,34	0,001																								
201,675	-0,35	-6,165E-4																								
201,700	-0,35	0,002																								
201,725	-0,35	-5,103E-4																								
201,750	-0,35	0,002																								
201,775	-0,35	-4,773E-4																								
201,800	-0,34	0,002																								
201,825	-0,36	-2,905E-4																								
201,850	-0,35	0,002																								
201,875	-0,35	-2,258E-4																								
201,900	-0,35	0,002																								
201,925	-0,35	-2,979E-4																								
201,950	-0,35	0,002																								
201,975	-0,35	-4,028E-4																								
202,000	-0,35	0,002																								
202,025	-0,35	-4,602E-4																								
202,050	-0,35	0,002																								
202,075	-0,34	-2,393E-4																								
202,100	-0,35	0,002																								
202,125	-0,35	-2,991E-4																								
202,150	-0,34	0,002																								
202,175	-0,35	-2,112E-4																								
202,200	-0,35	0,002																								
202,225	-0,34	-1,953E-5																								
202,250	-0,35	0,003																								
202,275	-0,35	0,001																								
202,300	-0,35	0,003																								
202,325	-0,35	-5,530E-4																								
202,350	-0,35	5,750E-4																								
202,375	-0,34	-0,002																								
202,400	-0,34	0,001																								
202,425	-0,35	-0,001																								
202,450	-0,35	0,002																								
202,475	-0,35	-6,787E-4																								
202,500	-0,34	0,002																								
202,525	-0,36	-1,660E-4																								
202,550	-0,34	0,002																								
202,575	-0,35	1,343E-5																								
202,600	-0,36	0,002																								
202,625	-0,33	-1,550E-4																								
202,650	-0,36	0,002																								
202,675	-0,35	-8,569E-4																								
202,700	-0,33	0,001																								
202,725	-0,36	-0,002																								
202,750	-0,34	5,347E-4																								
202,775	-0,33	-9,009E-4																								
202,800	-0,38	0,002																								
202,825	-0,34	7,446E-5																								
202,850	-0,34	0,002																								
202,875	-0,37	-3,711E-4																								
202,900	-0,32	0,002																								
202,925	-0,35	-4,736E-4																								
202,950	-0,37	0,002																								
202,975	-0,34	-5,994E-4																								
203,000	-0,35	0,002																								
203,025	-0,36	6,836E-5																								
203,050	-0,32	0,003																								
203,075	-0,37	7,422E-4																								
203,100	-0,35	0,004																								
203,125	-0,33	0,002																								
203,150	-0,36	0,005																								
203,175	-0,33	0,003																								
203,200	-0,35	0,004																								
203,225	-0,37	-2,087E-4																								
203,250	-0,33	0,001																								
203,275	-0,34	-0,002																								
203,300	-0,35	-1,941E-4																								
203,325	-0,33	-0,003																								
203,350	-0,36	-0,001																								
203,375	-0,36	-0,003																								
203,400	-0,33	2,063E-4																								
203,425	-0,35	-0,002																								
203,450	-0,35	8,167E-4																								
203,475	-0,34	-0,002																								
203,500	-0,36	0,001																								
203,525	-0,35	-8,289E-4																								
203,550	-0,34	0,002																								
203,575	-0,36	-5,957E-4																								
203,600	-0,34	0,002																								
203,625	-0,35	-7,068E-4																								
203,650	-0,36	0,002																								
203,675	-0,34	-6,238E-4																								
203,700	-0,35	0,002																								
203,725	-0,35	-6,323E-4																								
203,750	-0,34	0,002																								
203,775	-0,36	-5,908E-4																								
203,800	-0,34	0,002																								
203,825	-0,33	-5,249E-4																								
203,850	-0,36	0,002																								
203,875	-0,34	-6,152E-4																								
203,900	-0,35	0,002																								
203,925	-0,37	-8,997E-4																								
203,950	-0,33	0,002																								
203,975	-0,34	-0,001																								
204,000	-0,36	-4,883E-4																								
204,025	-0,33	-7,446E-4																								
204,050	-0,36	0,002																								
204,075	-0,35	-6,421E-4																								
204,100	-0,33	0,002																								
204,125	-0,35	-7,202E-4																								
204,150	-0,36	0,002																								
204,175	-0,34	-0,001																								
204,200	-0,37	0,002																								
204,225	-0,34	-6,360E-4																								
204,250	-0,33	0,002																								
204,275	-0,36	-0,001																								
204,300	-0,35	0,002																								
204,325	-0,34	-9,790E-4																								
204,350	-0,36	0,002																								
204,375	-0,33	-9,583E-4																								
204,400	-0,35	0,002																								
204,425	-0,36	-9,424E-4																								
204,450	-0,35	0,002																								
204,475	-0,35	-9,412E-4																								
204,500	-0,35	0,002																								
204,525	-0,34	-9,766E-4																								
204,550	-0,36	0,002																								
204,575	-0,35	-9,375E-4																								
204,600	-0,34	0,002																								
204,625	-0,35	-9,460E-4																								
204,650	-0,35	0,002																								
204,675	-0,34	-9,705E-4																								
204,700	-0,36	0,002																								
204,725	-0,34	-0,001																								
204,750	-0,35	0,002																								
204,775	-0,35	-0,001																								
204,800	-0,35	0,002																								
204,825	-0,35	-9,778E-4																								
204,850	-0,35	0,002																								
204,875	-0,35	-0,001																								
204,900	-0,35	0,002																								
204,925	-0,35	-0,002																								
204,950	-0,35	0,002																								
204,975	-0,35	-0,001																								
205,000	-0,35	0,002																								
205,025	-0,36	-0,001																								
205,050	-0,34	0,002																								
205,075	-0,34	-0,001																								
205,100	-0,35	0,002																								
205,125	-0,35	-9,900E-4																								
205,150	-0,35	0,002																								
205,175	-0,36	-9,265E-4																								
205,200	-0,34	0,002																								
205,225	-0,34	-0,001																								
205,250	-0,36	0,002																								
205,275	-0,34	-0,001																								
205,300	-0,35	0,002																								
205,325	-0,35	-0,001																								
205,350	-0,34	0,002																								
205,375	-0,35	-8,325E-4																								
205,400	-0,36	0,002																								
205,425	-0,34	-0,001																								
205,450	-0,35	0,002																								
205,475	-0,35	-0,001																								
205,500	-0,36	0,002																								
205,525	-0,35	-0,001																								
205,550	-0,34	0,003																								
205,575	-0,34	-9,497E-4																								
205,600	-0,33	0,003																								
205,625	-0,35	-8,533E-4																								
205,650	-0,36	0,003																								
205,675	-0,35	-6,445E-4																								
205,700	-0,35	0,003																								
205,725	-0,34	-4,602E-4																								
205,750	-0,33	0,003																								
205,775	-0,36	-3,784E-4																								
205,800	-0,35	0,004																								
205,825	-0,34	0,002																								
205,850	-0,35	0,007																								
205,875	-0,34	0,002																								
205,900	-0,34	0,005																								
205,925	-0,37	-8,496E-4																								
205,950	-0,34	0,003																								
205,975	-0,35	-0,001																								
206,000	-0,35	0,002																								
206,025	-0,33	-0,003																								
206,050	-0,35	-9,216E-4																								
206,075	-0,37	-0,003																								
206,100	-0,34	-7,190E-4																								
206,125	-0,35	-0,003																								
206,150	-0,35	0,002																								
206,175	-0,33	-0,003																								
206,200	-0,36	0,002																								
206,225	-0,36	-0,002																								
206,250	-0,33	0,002																								
206,275	-0,36	-0,002																								
206,300	-0,34	0,003																								
206,325	-0,34	-0,002																								
206,350	-0,37	0,003																								
206,375	-0,34	-0,002																								
206,400	-0,34	0,003																								
206,425	-0,35	-0,002																								
206,450	-0,34	0,003																								
206,475	-0,35	-0,001																								
206,500	-0,36	0,003																								
206,525	-0,34	-0,001																								
206,550	-0,36	0,003																								
206,575	-0,34	-0,002																								
206,600	-0,35	0,003																								
206,625	-0,35	-0,002																								
206,650	-0,34	0,003																								
